unit,unit_type,config,model,seed,macro_f1,n_cols
jit_R6_R7,main,drop_rssi,lightgbm::Light_T1,42,0.6740914419695193,86
jit_R6_R7,main,drop_rssi,lightgbm::Light_XM,42,0.7086092715231788,86
jit_R6_R7,main,drop_rssi,lightgbm::Sensor,42,0.7912457912457912,86
jit_R6_R7,main,drop_rssi,lightgbm::Socket,42,1.0,86
jit_R6_R7,main,drop_rssi,stacking::Camera,42,0.7926397735314933,86
jit_R6_R7,main,drop_rssi,stacking::Light_T1,42,0.6662686567164179,86
jit_R6_R7,main,drop_rssi,stacking::Light_XM,42,0.6986666666666667,86
jit_R6_R7,main,drop_rssi,stacking::Sensor,42,0.7832957110609481,86
jit_R6_R7,main,drop_rssi,stacking::Socket,42,1.0,86
loro_to_R4,loro,drop_rssi,rf,42,0.7161849600735065,86
loro_to_R4,loro,drop_rssi,xgboost,42,0.7666953868080096,86
loro_to_R4,loro,drop_rssi,lightgbm,42,0.7644700953224918,86
loro_to_R4,loro,drop_rssi,stacking,42,0.7572394891232392,86
loro_to_R4,loro,drop_rssi,rf::Camera,42,0.627318718381113,86
loro_to_R4,loro,drop_rssi,rf::Light_T1,42,0.5757225433526012,86
loro_to_R4,loro,drop_rssi,rf::Light_XM,42,0.648936170212766,86
loro_to_R4,loro,drop_rssi,rf::Sensor,42,0.7289473684210527,86
loro_to_R4,loro,drop_rssi,rf::Socket,42,1.0,86
loro_to_R4,loro,drop_rssi,xgboost::Camera,42,0.7430340557275542,86
loro_to_R4,loro,drop_rssi,xgboost::Light_T1,42,0.6383981154299175,86
loro_to_R4,loro,drop_rssi,xgboost::Light_XM,42,0.7044854881266491,86
loro_to_R4,loro,drop_rssi,xgboost::Sensor,42,0.7475592747559274,86
loro_to_R4,loro,drop_rssi,xgboost::Socket,42,1.0,86
loro_to_R4,loro,drop_rssi,lightgbm::Camera,42,0.7630769230769231,86
loro_to_R4,loro,drop_rssi,lightgbm::Light_T1,42,0.6258823529411764,86
loro_to_R4,loro,drop_rssi,lightgbm::Light_XM,42,0.6816380449141347,86
loro_to_R4,loro,drop_rssi,lightgbm::Sensor,42,0.7517531556802244,86
loro_to_R4,loro,drop_rssi,lightgbm::Socket,42,1.0,86
loro_to_R4,loro,drop_rssi,stacking::Camera,42,0.7354138398914518,86
loro_to_R4,loro,drop_rssi,stacking::Light_T1,42,0.631979695431472,86
loro_to_R4,loro,drop_rssi,stacking::Light_XM,42,0.6783783783783783,86
loro_to_R4,loro,drop_rssi,stacking::Sensor,42,0.7404255319148936,86
loro_to_R4,loro,drop_rssi,stacking::Socket,42,1.0,86
loro_to_R3,loro,drop_rssi,rf,42,0.8194098954925693,86
loro_to_R3,loro,drop_rssi,xgboost,42,0.8465897540177814,86
loro_to_R3,loro,drop_rssi,lightgbm,42,0.8460666794811063,86
loro_to_R3,loro,drop_rssi,stacking,42,0.8343954723799742,86
loro_to_R3,loro,drop_rssi,rf::Camera,42,0.9263157894736842,86
loro_to_R3,loro,drop_rssi,rf::Light_T1,42,0.7236467236467237,86
loro_to_R3,loro,drop_rssi,rf::Light_XM,42,0.6484149855907781,86
loro_to_R3,loro,drop_rssi,rf::Sensor,42,0.8,86
loro_to_R3,loro,drop_rssi,rf::Socket,42,0.99867197875166,86
loro_to_R3,loro,drop_rssi,xgboost::Camera,42,0.940554821664465,86
loro_to_R3,loro,drop_rssi,xgboost::Light_T1,42,0.7334273624823695,86
loro_to_R3,loro,drop_rssi,xgboost::Light_XM,42,0.71875,86
loro_to_R3,loro,drop_rssi,xgboost::Sensor,42,0.8415446071904128,86
loro_to_R3,loro,drop_rssi,xgboost::Socket,42,0.99867197875166,86
loro_to_R3,loro,drop_rssi,lightgbm::Camera,42,0.9424083769633508,86
loro_to_R3,loro,drop_rssi,lightgbm::Light_T1,42,0.7212643678160919,86
loro_to_R3,loro,drop_rssi,lightgbm::Light_XM,42,0.7134670487106017,86
loro_to_R3,loro,drop_rssi,lightgbm::Sensor,42,0.854521625163827,86
loro_to_R3,loro,drop_rssi,lightgbm::Socket,42,0.99867197875166,86
loro_to_R3,loro,drop_rssi,stacking::Camera,42,0.9045226130653267,86
loro_to_R3,loro,drop_rssi,stacking::Light_T1,42,0.7264833574529667,86
loro_to_R3,loro,drop_rssi,stacking::Light_XM,42,0.6966618287373004,86
loro_to_R3,loro,drop_rssi,stacking::Sensor,42,0.8456375838926175,86
loro_to_R3,loro,drop_rssi,stacking::Socket,42,0.99867197875166,86
loro_to_R2,loro,drop_rssi,rf,42,0.7236993864437556,86
loro_to_R2,loro,drop_rssi,xgboost,42,0.7641050881914407,86
loro_to_R2,loro,drop_rssi,lightgbm,42,0.7695565272276548,86
loro_to_R2,loro,drop_rssi,stacking,42,0.7789935512945718,86
loro_to_R2,loro,drop_rssi,rf::Camera,42,0.5047438330170778,86
loro_to_R2,loro,drop_rssi,rf::Light_T1,42,0.6933333333333334,86
loro_to_R2,loro,drop_rssi,rf::Light_XM,42,0.6251441753171857,86
loro_to_R2,loro,drop_rssi,rf::Sensor,42,0.7952755905511811,86
loro_to_R2,loro,drop_rssi,rf::Socket,42,1.0,86
loro_to_R2,loro,drop_rssi,xgboost::Camera,42,0.6003490401396161,86
