class,task1,task2,cosine_similarity,l1_distance,error_rate_1,error_rate_2
Sensor,single_round_R2,joint_R2_R3_R4,0.0,1.0,0.0,0.11009174311926606
Sensor,single_round_R2,position_R2_R3_R4_to_R5,0.0,1.0,0.0,0.3342541436464088
Sensor,single_round_R2,jitter_R2_R3_R4_to_R6,0.0,1.0,0.0,0.23703703703703705
Sensor,single_round_R2,jitter_R2_R3_R4_to_R7,0.0,1.0,0.0,0.22556390977443608
Sensor,single_round_R3,single_round_R4,0.7071067811865475,1.0,0.08256880733944949,0.12844036697247707
Sensor,single_round_R3,loro_R2_R3_to_R4,0.0,2.0,0.08256880733944949,0.15193370165745856
Sensor,single_round_R3,loro_R2_R4_to_R3,0.1939875195598314,1.6891891891891893,0.08256880733944949,0.8131868131868132
Sensor,single_round_R3,loro_R3_R4_to_R2,0.1757906384836575,1.6969696969696972,0.08256880733944949,0.2727272727272727
Sensor,single_round_R3,joint_R2_R3_R4,0.8436614877321075,0.7777777777777779,0.08256880733944949,0.11009174311926606
Sensor,single_round_R3,position_R2_R3_R4_to_R5,0.29552794741101973,1.553719008264463,0.08256880733944949,0.3342541436464088
Sensor,single_round_R3,jitter_R2_R3_R4_to_R6,0.3570027736477084,1.4583333333333333,0.08256880733944949,0.23703703703703705
Sensor,single_round_R3,jitter_R2_R3_R4_to_R7,0.5010362705417046,1.2666666666666666,0.08256880733944949,0.22556390977443608
Sensor,single_round_R4,loro_R2_R3_to_R4,0.7069855663435919,1.0,0.12844036697247707,0.15193370165745856
Sensor,single_round_R4,loro_R2_R4_to_R3,0.8289832515625115,0.6891891891891893,0.12844036697247707,0.8131868131868132
