task,seed,arm,oof_mode,cv_requested,folds_effective,b_folds_effective,aprime_aligned_with_b,n_train_rounds,b_split_basis,stacking_f1,best_base_model,best_base_f1,gain_absolute,base_f1_rf,base_f1_xgboost,base_f1_lightgbm,n_sources,target_env,grid_kind
g0_R2_R3_R5_to_R6,42,A_prime,random,3,3,3,True,3,round_group,0.6286343371988152,lightgbm,0.6648088984683613,-0.0361745612695461,0.5750811606983018,0.6539842969749964,0.6648088984683613,3,R6,ood
g0_R2_R3_R5_to_R6,42,B,grouped,5,3,3,,3,round_group,0.46474080588278266,lightgbm,0.6648088984683613,-0.20006809258557867,0.5750811606983018,0.6539842969749964,0.6648088984683613,3,R6,ood
g0_R2_R4_R7_to_R6,42,A,random,5,5,3,,3,round_group,0.7922535635008283,xgboost,0.8012599313351434,-0.009006367834315077,0.7774372232012368,0.8012599313351434,0.7791451615532654,3,R6,ood
g0_R2_R4_R7_to_R6,42,A_prime,random,3,3,3,True,3,round_group,0.7935422365415135,xgboost,0.8012599313351434,-0.007717694793629937,0.7774372232012368,0.8012599313351434,0.7791451615532654,3,R6,ood
g0_R2_R4_R7_to_R6,42,B,grouped,5,3,3,,3,round_group,0.7552765655579357,xgboost,0.8012599313351434,-0.04598336577720774,0.7774372232012368,0.8012599313351434,0.7791451615532654,3,R6,ood
g0_R3_R4_R7_to_R6,42,A,random,5,5,3,,3,round_group,0.8005109795234345,xgboost,0.8066907298544296,-0.0061797503309950486,0.7758726574941364,0.8066907298544296,0.7838318616159883,3,R6,ood
g0_R3_R4_R7_to_R6,42,A_prime,random,3,3,3,True,3,round_group,0.7940436107426796,xgboost,0.8066907298544296,-0.012647119111749983,0.7758726574941364,0.8066907298544296,0.7838318616159883,3,R6,ood
g0_R3_R4_R7_to_R6,42,B,grouped,5,3,3,,3,round_group,0.7187958090461277,xgboost,0.8066907298544296,-0.08789492080830186,0.7758726574941364,0.8066907298544296,0.7838318616159883,3,R6,ood
g0_R2_to_R7,42,A,random,5,5,5,,1,time_block,0.28036253776435044,rf,0.28036253776435044,0.0,0.28036253776435044,0.27949967093426703,0.28036253776435044,1,R7,ood
g0_R2_to_R7,42,A_prime,random,5,5,5,True,1,time_block,0.28036253776435044,rf,0.28036253776435044,0.0,0.28036253776435044,0.27949967093426703,0.28036253776435044,1,R7,ood
g0_R2_to_R7,42,B,grouped,5,5,5,,1,time_block,0.28036253776435044,rf,0.28036253776435044,0.0,0.28036253776435044,0.27949967093426703,0.28036253776435044,1,R7,ood
g0_R5_to_R7,42,A,random,5,5,5,,1,time_block,0.4188096769405828,lightgbm,0.4199970012174483,-0.0011873242768655201,0.41438508040480937,0.4158299014811832,0.4199970012174483,1,R7,ood
g0_R5_to_R7,42,A_prime,random,5,5,5,True,1,time_block,0.4188096769405828,lightgbm,0.4199970012174483,-0.0011873242768655201,0.41438508040480937,0.4158299014811832,0.4199970012174483,1,R7,ood
g0_R5_to_R7,42,B,grouped,5,5,5,,1,time_block,0.42066628143281026,lightgbm,0.4199970012174483,0.0006692802153619448,0.41438508040480937,0.4158299014811832,0.4199970012174483,1,R7,ood
g0_R2_R4_to_R7,42,A,random,5,5,2,,2,round_group,0.6615116465121159,lightgbm,0.6623218601444343,-0.0008102136323183684,0.6311282716635265,0.662176082048135,0.6623218601444343,2,R7,ood
g0_R2_R4_to_R7,42,A_prime,random,2,2,2,True,2,round_group,0.6612317294880238,lightgbm,0.6623218601444343,-0.001090130656410504,0.6311282716635265,0.662176082048135,0.6623218601444343,2,R7,ood
g0_R2_R4_to_R7,42,B,grouped,5,2,2,,2,round_group,0.5003340804398875,lightgbm,0.6623218601444343,-0.1619877797045468,0.6311282716635265,0.662176082048135,0.6623218601444343,2,R7,ood
g0_R3_R4_to_R7,42,A,random,5,5,2,,2,round_group,0.7006947594732965,rf,0.7800326479531493,-0.07933788847985279,0.7800326479531493,0.6833938052761592,0.705227819650415,2,R7,ood
