unit,arm,model,seed,macro_f1,f1_Camera,f1_Light_T1,f1_Light_XM,f1_Sensor,f1_Socket,dev_N1,dev_N6,dev_N30,stage1_acc
pos_R5,flat_drop_rssi,rf,43,0.6800649685181419,0.5266903914590747,0.4710860366713681,0.7404479578392622,0.6621004566210046,1.0,0.6800649685181419,0.8103106552804924,0.8993788819875776,
pos_R5,flat_drop_rssi,xgboost,43,0.731767941506001,0.6153846153846154,0.540084388185654,0.7929634641407307,0.7104072398190046,1.0,0.731767941506001,0.8520740680605897,0.9327184892402283,
pos_R5,flat_drop_rssi,lightgbm,43,0.7334187064794107,0.624561403508772,0.5521126760563381,0.7860026917900403,0.7044167610419027,1.0,0.7334187064794107,0.8629451839961465,0.9327184892402283,
pos_R5,flat_full94,rf,44,0.6914411164347813,0.8545454545454545,0.28052805280528054,0.677309007981756,0.6448230668414154,1.0,0.6914411164347813,0.7721774109644004,0.7232323232323232,
pos_R5,flat_full94,xgboost,44,0.6531123543780806,0.9209039548022598,0.07760141093474426,0.6944757609921083,0.5725806451612904,1.0,0.6531123543780806,0.6951632911392405,0.7119815668202765,
pos_R5,flat_full94,lightgbm,44,0.6583908067353137,0.8625730994152047,0.14965986394557823,0.7060158910329172,0.5737051792828686,1.0,0.6583908067353137,0.6994959648853432,0.7117241379310345,
pos_R5,flat_drop_rssi,rf,44,0.6790980733807815,0.518783542039356,0.48158640226628896,0.7398692810457517,0.6552511415525114,1.0,0.6790980733807815,0.7993967697460214,0.9005821764442453,
pos_R5,flat_drop_rssi,xgboost,44,0.7342433967721986,0.6319444444444444,0.5369318181818182,0.7903225806451613,0.7120181405895691,1.0,0.7342433967721986,0.8561083728250768,0.9327184892402283,
pos_R5,flat_drop_rssi,lightgbm,44,0.7334187064794107,0.624561403508772,0.5521126760563381,0.7860026917900403,0.7044167610419027,1.0,0.7334187064794107,0.8629451839961465,0.9327184892402283,
pos_R5,flat_full94,rf,45,0.6935335986677011,0.8597285067873304,0.28760330578512394,0.6842105263157895,0.6361256544502618,1.0,0.6935335986677011,0.7640376559687636,0.7232323232323232,
pos_R5,flat_full94,xgboost,45,0.6590326824903515,0.9230769230769231,0.08185053380782918,0.7048054919908466,0.5854304635761589,1.0,0.6590326824903515,0.696416201606896,0.7029868578255675,
pos_R5,flat_full94,lightgbm,45,0.6583908067353137,0.8625730994152047,0.14965986394557823,0.7060158910329172,0.5737051792828686,1.0,0.6583908067353137,0.6994959648853432,0.7117241379310345,
pos_R5,flat_drop_rssi,rf,45,0.6737062636053655,0.5195729537366548,0.45714285714285713,0.7350649350649351,0.6567505720823799,1.0,0.6737062636053655,0.798771331560225,0.8820389805097453,
pos_R5,flat_drop_rssi,xgboost,45,0.7318408180885126,0.6215277777777778,0.5418439716312057,0.7854251012145749,0.7104072398190046,1.0,0.7318408180885126,0.8423840070970801,0.9327184892402283,
pos_R5,flat_drop_rssi,lightgbm,45,0.7334187064794107,0.624561403508772,0.5521126760563381,0.7860026917900403,0.7044167610419027,1.0,0.7334187064794107,0.8629451839961465,0.9327184892402283,
pos_R5,flat_full94,rf,46,0.6977284530738025,0.8703427719821163,0.2871452420701169,0.6884875846501128,0.6426666666666667,1.0,0.6977284530738025,0.771854563585787,0.7232323232323232,
pos_R5,flat_full94,xgboost,46,0.660445173525362,0.9152542372881356,0.10782608695652174,0.6969353007945517,0.5822102425876011,1.0,0.660445173525362,0.6950303471440323,0.712962962962963,
pos_R5,flat_full94,lightgbm,46,0.6583908067353137,0.8625730994152047,0.14965986394557823,0.7060158910329172,0.5737051792828686,1.0,0.6583908067353137,0.6994959648853432,0.7117241379310345,
pos_R5,flat_drop_rssi,rf,46,0.676989905037001,0.522202486678508,0.4648493543758967,0.7395833333333334,0.6583143507972665,1.0,0.676989905037001,0.8002947362837782,0.8654545454545455,
pos_R5,flat_drop_rssi,xgboost,46,0.7316424188202135,0.6167247386759582,0.5441595441595442,0.790257104194858,0.7070707070707071,1.0,0.7316424188202135,0.850233962437434,0.9168831168831169,
