unit,arm,model,seed,device,n_win,true_share,runner_up_share,margin,mode_correct
inner_to_R3,flat_full94,lightgbm,44,Light_T1,363,0.14049586776859505,0.6639118457300276,-0.5234159779614326,0
inner_to_R3,flat_full94,lightgbm,44,Light_XM,369,0.8075880758807588,0.14092140921409213,0.6666666666666666,1
inner_to_R3,flat_full94,lightgbm,44,Sensor,364,0.046703296703296704,0.6840659340659341,-0.6373626373626373,0
inner_to_R3,flat_full94,lightgbm,44,Socket,376,1.0,0.0,1.0,1
inner_to_R3,flat_drop_rssi,rf,44,Camera,365,0.9534246575342465,0.03287671232876712,0.9205479452054794,1
inner_to_R3,flat_drop_rssi,rf,44,Light_T1,363,0.7162534435261708,0.17355371900826447,0.5426997245179064,1
inner_to_R3,flat_drop_rssi,rf,44,Light_XM,369,0.6205962059620597,0.16260162601626016,0.4579945799457995,1
inner_to_R3,flat_drop_rssi,rf,44,Sensor,364,0.8379120879120879,0.07692307692307693,0.760989010989011,1
inner_to_R3,flat_drop_rssi,rf,44,Socket,376,1.0,0.0,1.0,1
inner_to_R3,flat_drop_rssi,xgboost,44,Camera,365,0.9780821917808219,0.010958904109589041,0.9671232876712329,1
inner_to_R3,flat_drop_rssi,xgboost,44,Light_T1,363,0.7024793388429752,0.19008264462809918,0.512396694214876,1
inner_to_R3,flat_drop_rssi,xgboost,44,Light_XM,369,0.6910569105691057,0.15176151761517614,0.5392953929539295,1
inner_to_R3,flat_drop_rssi,xgboost,44,Sensor,364,0.8543956043956044,0.07692307692307693,0.7774725274725274,1
inner_to_R3,flat_drop_rssi,xgboost,44,Socket,376,1.0,0.0,1.0,1
inner_to_R3,flat_drop_rssi,lightgbm,44,Camera,365,0.9863013698630136,0.005479452054794521,0.9808219178082191,1
inner_to_R3,flat_drop_rssi,lightgbm,44,Light_T1,363,0.6914600550964187,0.18457300275482094,0.5068870523415978,1
inner_to_R3,flat_drop_rssi,lightgbm,44,Light_XM,369,0.6747967479674797,0.16260162601626016,0.5121951219512195,1
inner_to_R3,flat_drop_rssi,lightgbm,44,Sensor,364,0.8956043956043956,0.054945054945054944,0.8406593406593407,1
inner_to_R3,flat_drop_rssi,lightgbm,44,Socket,376,1.0,0.0,1.0,1
inner_to_R3,flat_full94,rf,45,Camera,365,0.9945205479452055,0.0027397260273972603,0.9917808219178083,1
inner_to_R3,flat_full94,rf,45,Light_T1,363,0.23415977961432508,0.4820936639118457,-0.24793388429752064,0
inner_to_R3,flat_full94,rf,45,Light_XM,369,0.7344173441734417,0.25474254742547425,0.4796747967479675,1
inner_to_R3,flat_full94,rf,45,Sensor,364,0.1346153846153846,0.7087912087912088,-0.5741758241758242,0
inner_to_R3,flat_full94,rf,45,Socket,376,1.0,0.0,1.0,1
inner_to_R3,flat_full94,xgboost,45,Camera,365,0.9945205479452055,0.005479452054794521,0.989041095890411,1
inner_to_R3,flat_full94,xgboost,45,Light_T1,363,0.1046831955922865,0.6391184573002755,-0.534435261707989,0
