unit,arm,seed,model,macro_f1,f1_Camera,f1_Light_T1,f1_Light_XM,f1_Sensor,f1_Socket,dev30_acc,n_blocks,n_overridden
jit_R6,flat_drop_rssi,45,xgboost,0.7409352777000138,0.6644628099173554,0.625,0.6392572944297082,0.7759562841530054,1.0,1.0,66,0
jit_R6,override_gate3,45,xgboost,0.7916440782109664,0.9033942558746736,0.6738868832731648,0.6401985111662531,0.7407407407407407,1.0,1.0,66,902
jit_R6,override_anyfam_loose,45,xgboost,0.774466613239976,0.8473177441540578,0.6738868832731648,0.6097271648873073,0.7414012738853503,1.0,1.0,66,1527
jit_R6,ovo_full94,45,xgboost,0.7806710501706751,0.8936170212765957,0.6313193588162762,0.665868263473054,0.7125506072874493,1.0,1.0,66,0
jit_R6,flat_full94,45,lightgbm,0.7640759809256255,0.9057104913678619,0.5947441217150761,0.640625,0.6793002915451894,1.0,0.9696969696969697,66,0
jit_R6,flat_drop_rssi,45,lightgbm,0.7434294873428366,0.6710526315789473,0.621380846325167,0.6421052631578947,0.782608695652174,1.0,1.0,66,0
jit_R6,override_gate3,45,lightgbm,0.7859034266158459,0.9057104913678619,0.677382319173364,0.6329411764705882,0.7134831460674157,1.0,1.0,66,894
jit_R6,override_anyfam_loose,45,lightgbm,0.7009883594414159,0.5714285714285714,0.677382319173364,0.5220883534136547,0.7340425531914894,1.0,0.8333333333333334,66,1543
jit_R6,ovo_full94,45,lightgbm,0.7893779797949184,0.9270166453265045,0.6225165562913907,0.6703296703296703,0.727027027027027,1.0,1.0,66,0
jit_R6,flat_full94,46,rf,0.7482805249725685,0.8108882521489972,0.6093023255813953,0.6243093922651933,0.6969026548672567,1.0,0.9545454545454546,66,0
jit_R6,flat_drop_rssi,46,rf,0.6922424596146672,0.5714285714285714,0.577209797657082,0.5898123324396782,0.7227615965480043,1.0,0.9242424242424242,66,0
jit_R6,override_gate3,46,rf,0.757935049617474,0.8108882521489972,0.6255813953488372,0.6271186440677966,0.7260869565217392,1.0,0.9848484848484849,66,1038
jit_R6,override_anyfam_loose,46,rf,0.6891709692608898,0.5618374558303887,0.6222732491389208,0.5266821345707656,0.7350620067643743,1.0,0.8787878787878788,66,1378
jit_R6,ovo_full94,46,rf,0.6762632095070564,0.5239852398523985,0.6135371179039302,0.5721518987341773,0.6716417910447762,1.0,0.8484848484848485,66,0
jit_R6,flat_full94,46,xgboost,0.7793861555088145,0.9031413612565445,0.6177215189873417,0.6546681664791901,0.721399730820996,1.0,1.0,66,0
jit_R6,flat_drop_rssi,46,xgboost,0.7427752990465581,0.6655683690280065,0.6299559471365639,0.6410596026490066,0.777292576419214,1.0,1.0,66,0
