unit,unit_type,config,model,seed,n_cols,win_macro_f1,dev_N6_macro_f1,dev_N6_n_blocks,dev_N30_macro_f1,dev_N30_n_blocks
jit_R7,outer,drop_rssi,xgboost::Sensor,42,86,0.8036951501154734,,,,
jit_R7,outer,drop_rssi,xgboost::Socket,42,86,1.0,,,,
jit_R7,outer,drop_rssi,lightgbm::Camera,42,86,0.870026525198939,,,,
jit_R7,outer,drop_rssi,lightgbm::Light_T1,42,86,0.7326732673267327,,,,
jit_R7,outer,drop_rssi,lightgbm::Light_XM,42,86,0.776,,,,
jit_R7,outer,drop_rssi,lightgbm::Sensor,42,86,0.8004640371229699,,,,
jit_R7,outer,drop_rssi,lightgbm::Socket,42,86,1.0,,,,
jit_R7,outer,drop_rssi,stacking::Camera,42,86,0.8717948717948718,,,,
jit_R7,outer,drop_rssi,stacking::Light_T1,42,86,0.7090216010165185,,,,
jit_R7,outer,drop_rssi,stacking::Light_XM,42,86,0.7643142476697736,,,,
jit_R7,outer,drop_rssi,stacking::Sensor,42,86,0.7897196261682243,,,,
jit_R7,outer,drop_rssi,stacking::Socket,42,86,1.0,,,,
inner_to_R2,inner,full94,rf,43,94,0.81546326007283,0.9504453119830609,304.0,1.0,60.0
inner_to_R2,inner,full94,xgboost,43,94,0.7761869688759645,0.8839002267573697,304.0,0.909761583445794,60.0
inner_to_R2,inner,full94,lightgbm,43,94,0.7934265218076193,0.9011306042884991,304.0,0.909761583445794,60.0
inner_to_R2,inner,full94,stacking,43,94,0.6388257029257094,0.6870015948963317,304.0,0.7,60.0
inner_to_R2,inner,full94,rf::Camera,43,94,0.9526542324246772,,,,
inner_to_R2,inner,full94,rf::Light_T1,43,94,0.662807525325615,,,,
inner_to_R2,inner,full94,rf::Light_XM,43,94,0.7686274509803922,,,,
inner_to_R2,inner,full94,rf::Sensor,43,94,0.6932270916334662,,,,
inner_to_R2,inner,full94,rf::Socket,43,94,1.0,,,,
inner_to_R2,inner,full94,xgboost::Camera,43,94,0.9481268011527377,,,,
inner_to_R2,inner,full94,xgboost::Light_T1,43,94,0.5179153094462541,,,,
inner_to_R2,inner,full94,xgboost::Light_XM,43,94,0.7490542244640606,,,,
inner_to_R2,inner,full94,xgboost::Sensor,43,94,0.6658385093167701,,,,
inner_to_R2,inner,full94,xgboost::Socket,43,94,1.0,,,,
inner_to_R2,inner,full94,lightgbm::Camera,43,94,0.9572649572649573,,,,
inner_to_R2,inner,full94,lightgbm::Light_T1,43,94,0.5414012738853503,,,,
inner_to_R2,inner,full94,lightgbm::Light_XM,43,94,0.7630208333333334,,,,
inner_to_R2,inner,full94,lightgbm::Sensor,43,94,0.7054455445544554,,,,
inner_to_R2,inner,full94,lightgbm::Socket,43,94,1.0,,,,
inner_to_R2,inner,full94,stacking::Camera,43,94,0.9861878453038674,,,,
inner_to_R2,inner,full94,stacking::Light_T1,43,94,0.4325358851674641,,,,
inner_to_R2,inner,full94,stacking::Light_XM,43,94,0.05737704918032787,,,,
inner_to_R2,inner,full94,stacking::Sensor,43,94,0.7180277349768875,,,,
inner_to_R2,inner,full94,stacking::Socket,43,94,1.0,,,,
inner_to_R3,inner,full94,rf,43,94,0.6095598961469519,0.5957319136278878,308.0,0.5657142857142856,61.0
inner_to_R3,inner,full94,xgboost,43,94,0.5296917551431003,0.5355025172478091,308.0,0.5371428571428571,61.0
