replicate,r2_M0,r2_M1,r2_M0_sub,r2_M2,dr2_M1_vs_M0,dr2_M2_vs_M0sub,beta_M1_d_recall_Camera,beta_M1_d_recall_Light_T1,beta_M1_d_recall_Light_XM,beta_M1_d_recall_Sensor,beta_M1_d_recall_Socket,beta_M1_d_recall_l2,beta_M1_d_recall_max,beta_M1_cpd_y,beta_M2_d_recall_Camera,beta_M2_d_recall_Light_T1,beta_M2_d_recall_Light_XM,beta_M2_d_recall_Sensor,beta_M2_d_recall_Socket,beta_M2_d_recall_l2,beta_M2_d_recall_max,beta_M2_cpd_dir_strict
1594,0.2087490069965532,0.21286155284072117,0.5333303932250937,0.7036945793084481,0.004112545844167981,0.17036418608335446,-0.37522960896287116,0.15331564706994016,-0.1293929550255531,0.1263510015492902,-0.0029558918453260197,1.6676699122710685,-0.9373525645473497,-0.22566428803773553,-0.2690553289334266,-0.925976424048877,-0.37828937816344144,-0.49823160884510853,-5.551115123125783e-17,-0.01720477141826343,1.227451092299124,-0.5198198116269337
1595,0.30561313310025384,0.30581112074920513,0.7236569021242476,0.8038700112892907,0.00019798764895129217,0.0802131091650431,-0.19439440063945035,0.07060225921918453,-0.3446137052736763,0.20339884681075796,0.18072466529853817,1.4424309785560676,-0.7598716597020787,-0.052580865433778545,-0.05411434324927733,-1.1026555475280422,-0.683651957571055,-0.4099357607257223,-1.1102230246251565e-16,0.33624809733783,1.518774504394729,-0.3566617416378098
1596,0.17703401113677997,0.17708369556553472,0.9329770949652421,0.996037412029715,4.968442875474821e-05,0.0630603170644729,-0.04783837513722941,-0.08586320263906447,-0.3025599921921786,0.04498260679407112,-0.3291127376878664,0.85621598489624,-0.5549330344655284,-0.022305602052285767,-2.846913061667485,-1.7321687148658604,-2.3196250803511145,1.5763330986671533,-1.865174681370263e-14,-0.7799327546187474,3.6087840360052494,-2.616844968887136
1597,0.30561313310025373,0.30581112074920513,0.7236569021242476,0.8038700112892907,0.0001979876489514032,0.0802131091650431,-0.19439440063944974,0.07060225921918441,-0.3446137052736755,0.2033988468107581,0.18072466529853806,1.4424309785560654,-0.7598716597020783,-0.052580865433777865,-0.05411434324927322,-1.1026555475280428,-0.683651957571056,-0.40993576072572235,1.1102230246251565e-16,0.3362480973378319,1.5187745043947256,-0.3566617416378113
1598,0.11937980684086258,0.24682635040416878,0.7152238040100534,0.7505935120847639,0.1274465435633062,0.035369708074710515,-0.20649605192062764,-0.10699724462585103,0.10429325623477097,-0.1349378583248017,0.17071188597368817,1.2717593986065163,-0.005704260321633736,-0.8188486378862275,-0.38085294053461116,-0.9661601205811166,-0.7606288421741074,-0.2706660244644133,4.996003610813204e-16,0.2970381554715218,1.3325129957654243,-0.32299052179123666
1599,0.16074942607149478,0.16654331843677883,0.7368233728735855,0.7710386963122928,0.005793892365284048,0.03421532343870737,-0.30702825936125017,0.020041537098958832,-0.3387477418604145,0.07308516606695212,-0.09899815774906366,1.0234455813948573,-0.6494284628395786,0.2783445875784866,0.44013052228339977,-1.330837181836477,-1.5567383306837244,0.14265494760216874,-1.1102230246251565e-16,0.07807842866594095,0.961282883040305,-0.2568369836026319
1600,0.1632197853197792,0.21195466102445448,0.7475009921982885,0.7716409277727048,0.04873487570467527,0.024139935574416294,-0.12356045720658546,-0.08356168917730353,-0.06049396650598165,0.22514942086946885,-0.27762723123548755,1.3235935340493024,-0.7528830358502222,-0.5435014837608012,-0.5302157187202702,-0.9041397751324258,-1.0238965709013796,-0.06006370648984983,0.0,0.6652119948579038,0.4343753489976999,-0.6314541012486818
1601,0.15939676537566483,0.1620978507755012,0.8063647814240031,0.8454366985022042,0.002701085399836378,0.03907191707820101,-0.3177070142885221,-0.17171390114763135,-0.2600656411272165,0.08270749123839864,0.10624328942197614,1.100040825016603,-0.5110894721954862,0.17424500806067628,-0.11033054748160734,-1.2290195269592696,-0.9588192971458199,-0.2988849615348712,6.106226635438361e-16,0.3510608626727802,1.6734631996140958,-0.29462023299493856
1602,0.16787527174443162,0.16866452106907992,0.7697212616112902,0.7909775094793843,0.0007892493246483001,0.021256247868094102,-0.14693087333657873,-0.09756396528583752,-0.26219795032358834,0.10280813870489582,-0.2884128063482935,1.0914622776993717,-0.7236387729411525,-0.08671646283552065,-0.5722895073304449,-1.8347184538203025,-2.189232592925568,0.6815792609119882,3.3306690738754696e-16,0.7519197988425151,0.8350774828756043,-0.7278090615621691
1603,0.08426972781206854,0.12080221181396522,0.4864368357006985,0.6606357413400963,0.03653248400189668,0.17419890563939777,-0.38265199433583935,-0.12455038974920297,-0.06741721359036269,-0.012050321211270865,-0.08484843723366878,1.4271853690964942,-0.4905226073654264,-0.4871178288163524,-1.0019559219233511,-1.4848138909123214,-1.9283904546156234,0.45573014112522325,2.220446049250313e-16,1.239424609368566,0.39559318430850376,-0.9133819331095304
