variant,cpd_dir_variant,cpd_dir_role,model,term,std_beta,boot_ci_lo,boot_ci_hi,n_boot_finite,design_rank_deficient,n_boot_degenerate_replicates_this_model,B
sens_recall_3model,strict,parallel_reported,M2,cpd_dir_strict,-0.6153256460168363,-2.43812980756404,1.6191276825930463,10000,False,89,10000
sens_recall_3model,lenient,primary,M0,d_recall_Camera,-0.05371618216167537,,,0,False,0,10000
sens_recall_3model,lenient,primary,M0,d_recall_Light_T1,0.02511773948429627,,,0,False,0,10000
sens_recall_3model,lenient,primary,M0,d_recall_Light_XM,-0.2590417100312346,,,0,False,0,10000
sens_recall_3model,lenient,primary,M0,d_recall_Sensor,0.040271047163333504,,,0,False,0,10000
sens_recall_3model,lenient,primary,M0,d_recall_Socket,-0.1568508426184538,,,0,False,0,10000
sens_recall_3model,lenient,primary,M0,d_recall_l2,0.7706771135079953,,,0,False,0,10000
sens_recall_3model,lenient,primary,M0,d_recall_max,-0.3781875646899437,,,0,False,0,10000
sens_recall_3model,lenient,primary,M1,d_recall_Camera,-0.052293516243004864,-0.28508776119310864,0.3062609045855408,10000,False,0,10000
sens_recall_3model,lenient,primary,M1,d_recall_Light_T1,0.02905332999647376,-0.1723145562959595,0.27307159095088285,10000,False,0,10000
sens_recall_3model,lenient,primary,M1,d_recall_Light_XM,-0.26438199753846825,-0.7147071272108825,-0.07601902864527052,10000,False,0,10000
sens_recall_3model,lenient,primary,M1,d_recall_Sensor,0.04373555289570799,-0.07394278633411573,0.3065215548933178,10000,False,0,10000
sens_recall_3model,lenient,primary,M1,d_recall_Socket,-0.15550859904637726,-0.3454532994862774,0.010609144054346105,10000,False,0,10000
sens_recall_3model,lenient,primary,M1,d_recall_l2,0.723737460236342,-0.1628937783313706,1.4281520841461934,10000,False,0,10000
sens_recall_3model,lenient,primary,M1,d_recall_max,-0.3671752823534169,-0.9548542815247064,0.17233052364387644,10000,False,0,10000
sens_recall_3model,lenient,primary,M1,cpd_y,0.03759224120352937,-0.209160407467954,0.6017436216838559,10000,False,0,10000
