task,fold_e_out,lb_rf,lb_xgboost,lb_lightgbm,rho_rf,rho_xgboost,rho_lightgbm,w_rf,w_xgboost,w_lightgbm
g0_R5_R7_to_R2,R2,0.41438508040480937,0.4158299014811832,0.3639232517513439,0.7672388391545697,0.8427535751029236,0.816251594201316,0.5362668671272253,0.3985535002259633,0.06517963264681141
g0_R5_R7_to_R3,R3,0.41438508040480937,0.4158299014811832,0.3639232517513439,0.7672388391545697,0.8427535751029236,0.816251594201316,0.5042557151808046,0.35064742288031003,0.1450968619388853
g0_R5_R7_to_R4,R4,0.41438508040480937,0.4158299014811832,0.3639232517513439,0.7672388391545697,0.8427535751029236,0.816251594201316,0.5042557151808046,0.35064742288031003,0.1450968619388853
g0_R5_R7_to_R6,R6,0.41438508040480937,0.4158299014811832,0.3639232517513439,0.7672388391545697,0.8427535751029236,0.816251594201316,0.5588150375487688,0.4058001854362555,0.035384777014975645
g0_R5_to_R2,R2,0.9576101576088973,0.9647450303143712,0.970809054368005,0.6434593913408373,0.6945108313410806,0.6964437898978051,0.2658144131548602,0.31791454326263874,0.4162710435825011
g0_R5_to_R3,R3,0.9576101576088973,0.9647450303143712,0.970809054368005,0.6434593913408373,0.6945108313410806,0.6964437898978051,0.3229106499504444,0.31911109246030367,0.357978257589252
g0_R5_to_R4,R4,0.9576101576088973,0.9647450303143712,0.970809054368005,0.6434593913408373,0.6945108313410806,0.6964437898978051,0.3229106499504444,0.31911109246030367,0.357978257589252
g0_R5_to_R6,R6,0.9576101576088973,0.9647450303143712,0.970809054368005,0.6434593913408373,0.6945108313410806,0.6964437898978051,0.2583123109128076,0.31620134436589487,0.42548634472129754
g0_R5_to_R7,R7,0.9576101576088973,0.9647450303143712,0.970809054368005,0.6434593913408373,0.6945108313410806,0.6964437898978051,0.2583123109128076,0.31620134436589487,0.42548634472129754
g0_R6_R7_to_R2,R2,0.7283019210840016,0.7321181158506991,0.7282664824557845,0.6915826985537091,0.7853702026298841,0.7727504943917032,0.3824780851020163,0.3273855227424376,0.2901363921555461
g0_R6_R7_to_R3,R3,0.7283019210840016,0.7321181158506991,0.7282664824557845,0.6915826985537091,0.7853702026298841,0.7727504943917032,0.40202561575696233,0.30196183440027247,0.29601254984276515
